"Reference","Qty","Value","DNP","Mouser_PN","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A1","1","RaspberryPi_Pico","","358-SC1634","Excluded from BOM","","Module:RaspberryPi_Pico_Common_Unspecified","https://datasheets.raspberrypi.com/pico/pico-datasheet.pdf"
"C1","1","100uf","","","Excluded from BOM","","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~"
"C2,C5,C6,C7,C8,C9,C10","7","0.1uF","","","Excluded from BOM","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"C3","1","22uF","","80-T350E226K010AT","","","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm","~"
"C4","1","10uF","","80-T350E106K025","","","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm","~"
"J1","1","Zx50_EdgeConnector","","737-PH2RA-80-UA","","","Connector_PinSocket_2.54mm:PinSocket_2x40_P2.54mm_Vertical_Oval","~"
"J2","1","FrontPanelConnect","","","Excluded from BOM","","Connector_PinSocket_2.54mm:PinSocket_2x02_P2.54mm_Vertical","~"
"J3","1","Front Panel 2","","710-61201022921","","","zx50_footprints:IDC-Header_2x05_P2.54mm_Horizontal_Edge","~"
"J4","1","Front Panel","","710-61201022921","","","zx50_footprints:IDC-Header_2x05_P2.54mm_Horizontal_Edge","~"
"U1,U3,U4,U5,U6,U7","6","74LVC573","","595-SN74LVC573ADW","","","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","https://www.ti.com/lit/gpn/sn74lvc573a"
"U2","1","AMS1117-3.3","","926-LM1117MPX3.3NOPB","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
